City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,quesnel,52.9999,-122.5029,274.43,100,100,2.57,CA,1704396048
161,kapa'a,22.0752,-159.319,297.33,81,75,4.12,US,1704395862
162,huayin,34.5675,110.0921,277.83,53,28,0.6,CN,1704396048
163,oumache,34.6929,5.6809,285.31,47,0,2.06,DZ,1704396048
164,shenjiamen,29.9576,122.298,284.21,79,84,6.88,CN,1704396049
165,isla vista,34.4133,-119.861,290.57,56,10,2.24,US,1704396049
166,uturoa,-16.7333,-151.4333,299.99,81,99,10.51,PF,1704395857
167,el bauga,18.262,33.9081,294.01,32,64,5.12,SD,1704396050
168,bay harbor,30.1471,-85.6146,289.23,50,0,3.09,US,1704396050
169,priozersk,61.0393,30.1291,261.53,84,100,2.76,RU,1704396050
170,lajere,11.9797,11.4443,296.37,16,29,4.13,NG,1704396050
171,shakawe,-18.3667,21.85,298.06,63,100,2.5,BW,1704396051
172,saudarkrokur,65.7461,-19.6394,265.71,90,62,2.92,IS,1704396051
173,ponta delgada,37.7333,-25.6667,291.59,88,40,3.09,PT,1704396051
174,freetown,8.484,-13.2299,301.99,74,6,4.63,SL,1704396052
175,san martin,-33.081,-68.4681,307.45,22,3,5.75,AR,1704396052
176,remire-montjoly,4.9167,-52.2667,302.17,74,75,7.2,GF,1704395878
177,vorgashor,67.5833,63.95,250.88,98,100,3.74,RU,1704396052
178,lazaro cardenas,17.9583,-102.2,301.09,51,16,3.76,MX,1704396053
179,bentiu,9.2333,29.8333,298.35,14,100,1.72,SS,1704396053
180,ninotsminda,41.2646,43.5916,269.2,93,99,2.17,GE,1704395840
181,sapri,40.0751,15.6296,286.87,84,32,0.36,IT,1704396054
182,enterprise,36.0252,-115.2419,285.63,35,20,8.23,US,1704396054
183,vila velha,-20.3297,-40.2925,302.12,89,75,3.09,BR,1704396054
184,petropavlovsk-kamchatsky,53.0452,158.6483,258.96,83,0,5.0,RU,1704396055
185,kill devil hills,36.0307,-75.676,282.15,71,100,5.66,US,1704396055
186,ushuaia,-54.8,-68.3,282.96,71,100,5.14,AR,1704396055
187,harstad,68.799,16.5293,256.62,86,95,4.68,NO,1704396055
188,anadyr,64.75,177.4833,260.43,72,0,7.0,RU,1704395852
189,sitka,57.0531,-135.33,276.09,87,75,3.09,US,1704396056
190,timimoun,29.2639,0.231,290.36,25,0,1.54,DZ,1704396056
191,boke,10.9409,-14.2967,300.83,55,45,3.66,GN,1704396057
192,ust-tsilma,65.441,52.1498,252.3,99,97,1.7,RU,1704395886
193,nizao,18.25,-70.2,302.85,62,4,3.99,DO,1704395776
194,klyuchi,52.2667,79.1667,264.54,84,98,5.63,RU,1704395863
195,horta,38.5333,-28.6333,289.95,87,40,7.6,PT,1704396057
196,ust-nera,64.5667,143.2,230.09,99,77,1.4,RU,1704396058
197,ola,59.5833,151.2833,246.7,89,13,3.07,RU,1704396058
198,keetmanshoop,-26.5833,18.1333,299.66,44,49,7.2,NA,1704396058
199,robertsport,6.7533,-11.3686,300.97,79,100,4.31,LR,1704396032
200,aragarcas,-15.8975,-52.2508,302.51,79,75,2.06,BR,1704396059
201,great falls,47.5002,-111.3008,279.4,51,20,6.17,US,1704396059
202,courtenay,49.6866,-124.9936,282.57,78,40,1.03,CA,1704396059
203,san antonio de pale,-1.4014,5.6325,300.36,76,99,3.67,GQ,1704396060
204,cabo san lucas,22.8909,-109.9124,298.49,41,20,5.14,MX,1704395824
205,messaad,34.1543,3.5031,284.82,32,18,2.27,DZ,1704396061
206,san carlos centro,-31.7286,-61.0919,307.62,45,6,3.24,AR,1704396061
207,rawah,34.4816,41.9093,287.78,59,9,1.53,IQ,1704396061
208,qingdao,36.0986,120.3719,272.93,86,12,5.0,CN,1704395848
209,chadan,51.2833,91.5833,250.66,94,97,1.31,RU,1704396062
210,celestun,20.8667,-90.4,299.31,64,31,2.63,MX,1704396062
211,papatowai,-46.5619,169.4708,283.54,62,40,6.08,NZ,1704396062
212,khandallah,-41.2467,174.7906,290.14,83,75,7.72,NZ,1704396063
213,chibougamau,49.9168,-74.3659,257.94,85,100,4.12,CA,1704396063
214,rongelap,11.1635,166.8941,300.19,74,100,8.73,MH,1704396063
215,swift current,50.2834,-107.8014,267.6,93,100,8.23,CA,1704396063
216,akureyri,65.6835,-18.0878,269.11,93,100,1.03,IS,1704396064
217,lepsy,46.235,78.9456,269.48,65,100,2.09,KZ,1704396064
218,sarikei,2.1167,111.5167,296.63,99,100,0.11,MY,1704396064
219,bubaque,11.2833,-15.8333,299.12,68,6,5.57,GW,1704396070
220,thompson,55.7435,-97.8558,261.24,85,100,2.06,CA,1704395990
221,taltal,-25.4,-70.4833,294.25,68,11,2.68,CL,1704395844
222,sudzha,51.1976,35.2726,263.26,94,95,3.74,RU,1704396071
223,hoopstad,-27.8327,25.9083,300.4,23,78,2.31,ZA,1704396071
224,nuku'alofa,-21.1333,-175.2,298.85,78,99,6.67,TO,1704395906
225,hadibu,12.65,54.0333,297.73,59,100,5.56,YE,1704396072
226,collie,-33.3667,116.15,286.35,76,0,3.91,AU,1704396072
227,grabouw,-34.1515,19.0151,293.96,70,63,3.47,ZA,1704396072
228,suva,-18.1416,178.4415,297.86,100,75,1.54,FJ,1704395854
229,martuk,50.7475,56.5056,264.56,95,100,1.39,KZ,1704396029
230,isla mujeres,21.2311,-86.731,302.18,68,1,3.89,MX,1704396073
231,badger,64.8,-147.5333,260.08,68,100,6.17,US,1704396074
232,chifeng,42.2683,118.9636,260.27,85,7,2.06,CN,1704396074
233,solleftea,63.1667,17.2667,251.07,100,100,0.75,SE,1704396074
234,malango,-2.9627,119.9001,293.42,96,100,0.82,ID,1704396075
235,mili,6.0815,171.735,300.73,80,100,9.53,MH,1704395919
236,dudinka,69.4058,86.1778,248.49,95,100,6.26,RU,1704396016
237,andergrove,-21.0833,149.1833,297.4,85,12,1.4,AU,1704396075
238,el vigia,8.6219,-71.6506,304.55,59,80,2.36,VE,1704396076
239,medicine hat,50.0501,-110.6683,271.88,100,75,1.54,CA,1704395866
240,port macquarie,-31.4333,152.9167,295.87,92,96,5.0,AU,1704396023
241,la'ie,21.6477,-157.9253,298.49,75,100,3.13,US,1704396077
242,kapuskasing,49.4169,-82.4331,259.2,72,100,4.12,CA,1704396077
243,erenhot,43.6475,111.9767,262.84,87,100,3.28,CN,1704396077
244,shahpur,16.7,76.8333,295.14,60,100,6.05,IN,1704396078
245,aripuana,-9.1667,-60.6333,297.87,92,100,1.1,BR,1704396078
246,rancho palos verdes,33.7445,-118.387,289.94,47,75,4.12,US,1704396079
247,watsa,3.0372,29.5355,294.28,40,36,0.82,CD,1704396079
248,dabakala,8.3667,-4.4333,303.15,19,1,1.16,CI,1704396079
249,labasa,-16.4167,179.3833,299.84,86,36,1.55,FJ,1704396080
250,kruisfontein,-34.0033,24.7314,293.09,86,5,5.76,ZA,1704396081
251,san juan pueblo,15.5833,-87.2333,300.46,90,100,1.83,HN,1704396082
252,padangsidempuan,1.3667,99.2667,295.38,99,100,1.36,ID,1704396083
253,kosh-agach,50.0,88.6667,251.1,95,76,0.45,RU,1704396083
254,vernon,50.2581,-119.2691,278.31,90,99,1.79,CA,1704396084
255,laguna,38.421,-121.4238,287.07,89,0,2.06,US,1704396084
256,crane,31.3974,-102.3501,280.34,76,100,10.68,US,1704396085
257,poso,-1.3959,120.7524,298.26,87,100,1.57,ID,1704396086
258,comodoro rivadavia,-45.8667,-67.5,301.07,24,0,9.77,AR,1704396086
259,island harbour,50.724,-1.2758,283.27,91,97,1.34,GB,1704396087
260,broome,42.2506,-75.833,272.43,76,100,8.23,US,1704396087
261,novosokol'niki,56.3463,30.1578,260.42,67,100,5.03,RU,1704396088
262,sao miguel do araguaia,-13.275,-50.1628,297.05,95,100,2.63,BR,1704396088
263,beibei,29.8256,106.4339,285.58,68,100,0.81,CN,1704396089
264,quellon,-43.1167,-73.6167,289.46,91,96,2.48,CL,1704395852
265,truth or consequences,33.1284,-107.2528,283.1,42,20,7.72,US,1704396090
266,douz,33.4663,9.0203,287.47,35,0,3.25,TN,1704395830
267,novouzensk,50.4592,48.1431,267.62,89,100,3.27,RU,1704396091
268,el calafate,-50.3408,-72.2768,288.73,61,100,5.7,AR,1704396091
269,nanning,22.8167,108.3167,290.4,73,100,3.7,CN,1704396092
270,araban,37.4267,37.689,281.44,94,100,1.46,TR,1704396092
271,mandalgovi,45.7625,106.2708,258.11,71,100,4.38,MN,1704396093
272,amarkantak,22.6667,81.75,287.35,59,66,0.35,IN,1704396093
273,yarovoye,52.9273,78.58,263.37,88,100,6.24,RU,1704396093
274,babu,24.4167,111.5167,288.48,59,100,0.99,CN,1704396094
275,nyandoma,61.669,40.1991,244.64,100,12,0.95,RU,1704396094
276,sterling,39.0062,-77.4286,279.38,51,75,9.26,US,1704396095
277,kirensk,57.7853,108.1119,250.35,94,100,2.24,RU,1704396095
278,sola,-13.8833,167.55,299.99,73,46,0.44,VU,1704396095
279,lebu,-37.6167,-73.65,291.63,69,9,6.59,CL,1704396096
